age 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
53 45966 46512 46143 47661 48023 50017 50803 52068 53696 52866 52726 53408 52751 52099 50084 50276 50466 49387 49424 59439 55659 51256 50774 49065 48278 46303 44923 45266 43499 44023 43106 42815 41154 41492 42689 44073 45286 47266 49365 48930 51319 57956 62810 66965 67466 67507 66298 65259 63023 60914 58087 58462 58972 57411 58384 59893 59051
54 44502 45652 46121 45791 47354 47679 49561 50465 51708 53316 52529 52346 53009 52372 51742 49737 49962 50085 48979 48990 58977 55213 50871 50397 48684 47892 45974 44589 44934 43205 43717 42803 42500 40873 41244 42502 43835 45048 47009 49113 48826 51047 57575 62410 66619 67153 67198 66010 65019 62775 60662 57790 58267 58802 57222 58261 59686
55 41684 44099 45274 45787 45470 46960 47215 49124 50040 51296 52860 52107 51942 52606 51911 51400 49400 49521 49602 48560 48565 58470 54732 50430 49957 48263 47474 45589 44218 44558 42849 43358 42510 42203 40574 41017 42236 43577 44762 46726 48869 48546 50727 57259 62014 66213 66857 66917 65725 64722 62447 60371 57567 58074 58607 57088 58075
56 41334 41234 43683 44842 45388 45086 46388 46804 48680 49582 50864 52389 51678 51482 52151 51531 50998 48948 49025 49117 48123 48131 57937 54204 49933 49475 47799 47028 45177 43835 44162 42466 42992 42201 41903 40317 40718 41922 43248 44505 46480 48545 48232 50355 56901 61645 65848 66522 66601 65380 64402 62115 60104 57322 57850 58418 56798
57 40078 40957 40810 43224 44388 44913 44529 45923 46349 48226 49043 50350 51878 51174 50955 51648 51037 50487 48400 48509 48654 47643 47592 57362 53640 49394 48960 47322 46539 44800 43435 43740 42071 42616 41851 41556 39970 40382 41580 42936 44240 46185 48188 47895 50008 56536 61287 65478 66155 66266 64951 64025 61790 59820 57028 57604 58152
58 39004 39624 40502 40349 42724 43901 44376 44051 45411 45832 47712 48539 49803 51375 50590 50469 51130 50482 49866 47858 47969 48088 47084 47068 56685 53018 48844 48440 46827 46079 44370 42972 43311 41642 42266 41502 41201 39598 40044 41262 42650 43924 45844 47823 47556 49656 56194 60878 65087 65776 65874 64595 63637 61451 59495 56726 57307
59 37841 38511 39166 39985 39894 42229 43228 43824 43532 44813 45213 47151 47927 49266 50689 49980 49901 50526 49840 49242 47237 47407 47450 46514 46491 56017 52367 48252 47853 46256 45554 43827 42468 42850 41229 41859 41078 40745 39207 39673 41003 42286 43575 45454 47461 47191 49291 55819 60415 64672 65357 65432 64191 63257 61075 59160 56365
60 35587 37261 37986 38576 39470 39353 41534 42668 43198 42891 44201 44560 46493 47296 48568 50066 49377 49193 49802 49182 48566 46597 46770 46815 45866 45883 55234 51655 47638 47210 45691 44985 43269 41934 42364 40793 41361 40620 40335 38862 39381 40624 41894 43132 45041 47017 46796 48910 55381 59973 64197 64821 64973 63758 62811 60747 58765
61 34709 35009 36666 37394 37943 38937 38644 40907 42011 42501 42306 43513 43840 45776 46596 47882 49325 48630 48467 49052 48416 47783 45856 46072 46110 45157 45194 54430 50891 46952 46568 45101 44387 42689 41391 41824 40313 40895 40149 39952 38525 38961 40257 41411 42714 44638 46586 46398 48519 54971 59441 63645 64312 64522 63294 62429 60306
62 32853 34114 34402 36025 36789 37399 38183 37987 40213 41298 41796 41550 42718 43179 44970 45864 47124 48468 47773 47678 48226 47579 46982 45127 45371 45344 44415 44453 53510 50083 46194 45864 44505 43779 42033 40858 41251 39750 40376 39677 39545 38107 38478 39791 40984 42259 44233 46164 46006 48023 54478 58896 63066 63785 63989 62795 61953
63 32418 32248 33487 33714 35357 36169 36620 37493 37234 39444 40557 40990 40711 41969 42369 44164 45035 46253 47553 46897 46789 47346 46670 46103 44296 44489 44526 43617 43668 52570 49260 45381 45143 43826 43106 41461 40275 40658 39168 39779 39195 39056 37632 37976 39320 40541 41804 43766 45689 45558 47559 53957 58312 62464 63231 63483 62249
64 30521 31779 31540 32744 33042 34672 35354 35859 36706 36485 38616 39707 40198 39924 41124 41465 43293 44158 45244 46512 45969 45844 46362 45712 45134 43433 43561 43619 42785 42847 51580 48328 44556 44348 43044 42392 40786 39630 39968 38605 39263 38707 38482 37041 37387 38794 40030 41301 43267 45202 45068 47036 53411 57661 61809 62686 62821
65 28783 29797 31104 30773 32061 32302 33872 34540 35007 35882 35688 37736 38811 39363 39033 40222 40489 42266 43184 44207 45393 44956 44793 45331 44675 44155 42455 42602 42647 41801 41927 50466 47334 43688 43476 42256 41601 40058 38937 39327 38008 38702 38029 37880 36423 36789 38222 39450 40773 42665 44602 44481 46426 52790 57004 61125 61983
66 29044 28118 29080 30335 30022 31322 31509 33026 33664 34144 34989 34792 36790 37849 38380 38046 39291 39484 41153 42082 43060 44268 43797 43693 44187 43668 43110 41418 41630 41697 40824 40983 49291 46256 42764 42623 41440 40794 39258 38177 38689 37383 38026 37320 37212 35827 36251 37643 38877 40145 42045 43972 43844 45798 52106 56320 60397
67 28185 28285 27389 28249 29503 29250 30490 30685 32140 32789 33189 34029 33822 35763 36812 37314 37034 38176 38352 40025 41001 41852 43041 42587 42453 42955 42543 41995 40347 40561 40663 39761 39935 48151 45145 41825 41688 40494 39906 38466 37478 37931 36637 37311 36594 36530 35201 35650 37005 38251 39511 41360 43340 43215 45155 51438 55560
68 26881 27373 27394 26584 27398 28651 28256 29561 29732 31239 31798 32157 32952 32804 34609 35664 36208 35905 36964 37106 38808 39744 40534 41769 41305 41195 41665 41292 40793 39178 39501 39530 38688 38906 46873 44080 40812 40714 39515 38926 37693 36660 37051 35835 36499 35863 35895 34550 35010 36338 37572 38833 40724 42631 42586 44546 50743
69 25314 26015 26477 26465 25691 26497 27570 27292 28507 28747 30186 30701 30944 31970 31688 33369 34488 35004 34698 35741 35836 37486 38384 39159 40411 39946 39786 40237 40001 39593 38007 38281 38324 37610 37797 45587 42983 39699 39666 38511 38010 36817 35836 36189 35006 35671 35039 35151 33827 34308 35595 36853 38154 40063 41852 41911 43873
70 24225 24348 25075 25520 25444 24759 25386 26565 26289 27422 27645 29038 29531 29804 30755 30505 32151 33225 33624 33391 34414 34499 36124 37012 37732 38895 38572 38352 38801 38658 38294 36767 37040 37144 36409 36628 44219 41724 38547 38606 37490 37023 35854 34900 35263 34119 34813 34283 34321 33048 33573 34835 36108 37397 39304 41115 41117
71 21490 23291 23360 24076 24535 24399 23698 24349 25453 25220 26252 26477 27854 28396 28541 29452 29259 30808 31813 32320 32028 33035 33066 34684 35526 36176 37364 37099 36936 37423 37276 36905 35471 35688 35865 35226 35380 42805 40450 37348 37503 36397 35958 34843 33928 34278 33233 33931 33438 33427 32234 32821 34067 35379 36610 38544 40303
72 20360 20534 22264 22309 22996 23437 23175 22641 23204 24269 24111 24992 25207 26576 27089 27211 28183 27951 29330 30404 30847 30582 31437 31583 33176 33936 34545 35733 35548 35417 35909 35780 35382 34088 34367 34567 33899 34169 41335 39075 36176 36358 35212 34755 33718 32821 33288 32268 33027 32529 32520 31426 31942 33295 34559 35827 37679
73 19196 19314 19510 21137 21242 21887 22089 22014 21463 22110 23083 22847 23766 23943 25124 25727 25908 26776 26511 27902 28891 29318 29043 29851 30043 31516 32271 32875 34072 33905 33836 34223 34180 33897 32613 32959 33162 32535 32794 39720 37614 34889 35098 33982 33577 32595 31712 32267 31233 31994 31598 31615 30585 31074 32464 33680 34976
74 17809 18137 18272 18419 20031 20115 20571 20863 20823 20266 20868 21777 21627 22527 22575 23639 24345 24457 25231 25064 26361 27301 27669 27517 28237 28401 29879 30560 31192 32351 32306 32156 32594 32503 32232 31141 31503 31674 31108 31464 38150 36072 33528 33743 32654 32348 31451 30604 31135 30152 30940 30511 30692 29718 30143 31534 32758
75 17274 16758 16970 17131 17318 18826 18870 19375 19569 19557 19065 19580 20421 20321 21142 21079 22283 22964 22898 23687 23586 24766 25610 26067 25896 26551 26721 28173 28867 29461 30599 30550 30384 30878 30827 30616 29513 29974 30200 29587 30040 36360 34495 32042 32342 31216 31048 30201 29419 30008 29081 29780 29424 29722 28720 29167 30575
